,game_id,date,aw_team,hm_team,hm_is_b2b,aw_is_b2b,home_total_goals,away_total_goals,home_total_shots,away_total_shots,hm_wins,away_xG,home_xG
55,2018020061.0,2018-10-13,DET,BOS,0,0,8,2,39,34,1,1.6344,3.8416
56,2018020062.0,2018-10-13,PIT,MTL,0,0,4,3,40,28,1,1.9088,3.6952
57,2018020063.0,2018-10-13,CBJ,TBL,0,0,8,2,31,32,1,3.7934,4.5134
58,2018020064.0,2018-10-13,VAN,FLA,0,0,2,3,26,30,0,3.1792000000000002,1.3826
59,2018020065.0,2018-10-13,TOR,WSH,0,0,2,4,27,28,0,4.0082,2.7672
60,2018020066.0,2018-10-13,NYI,NSH,0,0,5,2,29,22,1,2.104,2.6154
61,2018020067.0,2018-10-13,ANA,DAL,0,0,5,3,51,25,1,1.0732,5.3752
62,2018020068.0,2018-10-13,STL,CHI,0,0,4,3,50,38,1,3.3154,3.5626
63,2018020069.0,2018-10-13,BUF,ARI,0,0,0,3,36,23,0,1.2516,3.2472
64,2018020070.0,2018-10-13,CGY,COL,0,0,2,3,26,41,0,3.8514,1.868
65,2018020071.0,2018-10-14,SJS,NJD,0,0,3,2,36,39,1,3.029,3.6502
66,2018020072.0,2018-10-14,ANA,STL,1,1,2,3,31,31,0,3.3816,2.3424
67,2018020073.0,2018-10-14,CAR,WPG,0,1,3,1,26,43,1,4.575,2.5578
68,2018020074.0,2018-10-15,LAK,TOR,0,0,4,1,25,34,1,1.694,3.626
69,2018020075.0,2018-10-15,DET,MTL,0,0,7,3,35,28,1,2.1732,3.8486
70,2018020076.0,2018-10-15,DAL,OTT,0,0,4,1,24,38,1,3.6748,2.0096
71,2018020077.0,2018-10-15,MIN,NSH,0,0,4,2,28,31,1,1.9748,2.2016
72,2018020078.0,2018-10-16,DAL,NJD,0,1,3,0,34,24,1,1.8796,3.0356
73,2018020079.0,2018-10-16,COL,NYR,0,0,3,2,43,33,1,4.5606,3.7106000000000003
74,2018020080.0,2018-10-16,FLA,PHI,0,0,6,5,26,26,1,2.3688,2.7174
75,2018020081.0,2018-10-16,VAN,PIT,0,0,2,3,28,26,0,2.1268,1.8204
76,2018020082.0,2018-10-16,CAR,TBL,0,0,4,2,27,40,1,3.7108,2.6556
77,2018020083.0,2018-10-16,ARI,MIN,1,0,2,1,28,32,1,1.9704,1.9868
78,2018020084.0,2018-10-16,EDM,WPG,0,0,4,5,33,35,0,4.13,2.6428000000000003
79,2018020085.0,2018-10-16,BUF,VGK,0,0,4,1,29,27,1,1.7132,3.2392
80,2018020086.0,2018-10-17,STL,MTL,0,0,3,2,23,25,1,2.6464,2.2674000000000003
81,2018020087.0,2018-10-17,NYR,WSH,0,1,4,3,38,32,1,3.2752,2.5118
82,2018020089.0,2018-10-17,NYI,ANA,0,0,4,1,25,35,1,4.1052,1.154
83,2018020090.0,2018-10-18,PIT,TOR,0,0,0,3,38,38,0,1.4624000000000001,3.2732
84,2018020091.0,2018-10-18,COL,NJD,0,0,3,5,30,34,0,3.5898,2.7498
85,2018020092.0,2018-10-18,PHI,CBJ,0,0,6,3,28,35,1,3.0138,2.2318000000000002
86,2018020093.0,2018-10-18,DET,TBL,0,0,3,1,31,30,1,3.5806,2.0174
87,2018020094.0,2018-10-18,VAN,WPG,0,0,4,1,32,27,1,2.0052,2.658
88,2018020095.0,2018-10-18,ARI,CHI,0,0,1,4,34,31,0,3.116,3.1192
89,2018020096.0,2018-10-18,BOS,EDM,0,0,3,2,22,29,1,2.2912,1.992
90,2018020097.0,2018-10-18,NYI,LAK,0,1,2,7,35,32,0,3.2302,2.4524
91,2018020099.0,2018-10-19,FLA,WSH,0,0,5,6,31,30,0,3.2626,2.5186
92,2018020100.0,2018-10-19,MIN,DAL,0,0,1,3,34,36,0,2.128,3.0726
93,2018020102.0,2018-10-20,NJD,PHI,0,0,5,2,21,21,1,2.0356,1.7042000000000002
94,2018020103.0,2018-10-20,COL,CAR,0,0,1,3,43,22,0,1.9672,3.9068
95,2018020104.0,2018-10-20,ARI,WPG,0,0,5,3,32,45,1,4.7620000000000005,3.931
96,2018020105.0,2018-10-20,BUF,LAK,0,0,1,5,20,26,0,1.7127999999999999,1.0548
97,2018020106.0,2018-10-20,STL,TOR,0,0,1,4,23,25,0,2.5709999999999997,1.2086000000000001
98,2018020107.0,2018-10-20,MTL,OTT,0,0,4,3,34,27,1,2.054,2.0976
99,2018020108.0,2018-10-20,DET,FLA,1,0,3,4,37,31,0,1.2846,2.3076
100,2018020109.0,2018-10-20,CHI,CBJ,0,0,1,4,38,26,0,2.5388,3.7156000000000002
101,2018020110.0,2018-10-20,TBL,MIN,1,0,5,4,34,31,1,2.6306,4.1414
102,2018020111.0,2018-10-20,NSH,EDM,0,0,0,3,31,28,0,2.0184,2.912
103,2018020113.0,2018-10-20,ANA,VGK,0,0,3,1,45,18,1,0.5238,2.8858
